tweets,img,label
brt please sign petition amp retweet lolita spent years tiny tank illegally small nobody power,none,1
brt skyshockgg ubisoftlatam esooo sky lolita,http://pbs.twimg.com/media/EluIGUTUYAAi9Sx.jpg,1
bskyshockgg ubisoftlatam esooo sky lolita,http://pbs.twimg.com/media/EluIGUTUYAAi9Sx.jpg,1
mediaite closed caption nntrump hey jeffrey truth rumor fly hillarys,none,1
moonlightslove nosoulartist lolitabih bijuumike right however see mike,none,0
moonlightslove nosoulartist lolitabih bijuumike understand uncomfortable,none,0
bnosoulartist lolitabih bijuumike people could things similar happen characters httpstcomsjpxrijwy,none,0
alenaostberg maddiewasmatty herediversity tslolita,none,0
bam right better word absurdity simply irony came friend kubrick made,none,1
httpstcomileqztobj,none,0
brt whatsonstage almeida theatre reopen new socially distanced season beginning december three httpstcohmhjifujjz,none,0
brt stonerluka funfact love lolita fashion,none,1
brt hessianmohd lol leftists support idiot extremistswho pollute earth boycott french,none,1
shiriallwoodxxx nooditrki hifashemale,none,0
brt carlosrhodora nicoletteannmc mcambsl pinkyfaye ftangco mayynfante,none,0
bim part redneck lolita,none,0
assure lolita isnt become pedophile propagandannits mind obsessed pedophile,none,0
bsimplytsunami gotha lolita sleves still available,none,0
baiyrie gotha lolita sleves still available,none,0
bladygaga another lolita express flyer backs another lolita express flyer convenient,none,1
gotha lolita sleves available,none,0
alenaostberg maddiewasmatty herediversity tslolita,none,0
bxitzinaya gotha lolita sleves available,none,0
bchesseomu gotha lolita sleves still available,none,0
aiyrie gotha lolita sleves still available,none,0
bniamhlovesbooks garrisontowns marrowbonebooks brilliant naughty cover associate solero,none,0
gotha lolita sleves still available,none,0
bicarusbanks lolita thing,none,1
tsmarianacastro nicollylopests maddiewasmatty alenaostberg,none,0
time would make nice mortals,none,1
brt quenblackwell mercury regurgitate,none,1
top,none,0
brt quenblackwell gonna hit children gonna hiss act possessed rattle,none,1
brt million saudis amp womennnkenroth says rights loujain,none,1
brt sapnapswifu lolita minx niki really turn wanted well loh,none,0
brt carlosrhodora nicoletteannmc mcambsl pinkyfaye ftangco mayynfante,none,0
brt amorhestia call lawliets lolita,http://pbs.twimg.com/media/ElszypFX0AEBCYj.jpg,0
brt emirichuyt day elvenncharacter star guardian janna league legendsnnday lolita ncharacter celestia ludenberg,none,1
brt ughhwhatnow romance alive well,http://pbs.twimg.com/media/Ellt-aWWkAAzRvs.jpg,1
bcarlosrhodora nicoletteannmc mcambsl pinkyfaye ftangco,none,0
brt kirbythegorb daily kirby instead kirby lolita dress kirby lolita dress,http://pbs.twimg.com/media/EltC6MPVMAAmaeS.jpg,1
brt sydsydbizarre day free day birthday last year said might make thing draw lolita birthday year,none,1
brt emirichuyt day elvenncharacter star guardian janna league legendsnnday lolita ncharacter celestia ludenberg,none,1
brt betsaycamp safe everyone nrobotcry iammeinggay mariejoylove,none,1
bgoth lolita sleeves giveawayynroyalehightrades royalehigh royalehighgiveaways royalehighgiveaway httpstcopheayoqvfe,none,0
bjust finished reading ibitsu wasnt good lolita lowkey kinda cute httpstcoqsrxicllvo,http://pbs.twimg.com/media/Elt5RqSVkAA7QEh.jpg,0
brt emirichuyt day elvenncharacter star guardian janna league legendsnnday lolita ncharacter celestia ludenberg,none,1
brt ruxut,http://pbs.twimg.com/media/ElprRh4VoAI6ybd.jpg,0
bwhich president hopeful ever others campaign much biden idea democratic,none,1
brt highschool lacey boots giveawaynflopdeletennrulesnfollow retweet tagsncomment,none,0
brt chichilily innocent world httpstcowbpnrvoasf,http://pbs.twimg.com/media/Ekp96lFUcAAWiaR.jpg,1
give skates nocturnal kitty ears goth lolita sleeves antilique horns skirt,none,1
bgoth lolita sleeves soldddntysm buying valrhshop,none,0
brt angrynettle late night drawing sweetie lolita vocaloid mayu vocaloid httpstcojabrykpeuq,http://pbs.twimg.com/media/ElSL_9zW0AEwFTi.jpg,1
brt oomf time hyperfixation gothic lolita kurapika,none,0
bsutiblr think adding school bag adds unique charm lolita look,none,0
bhelp pls nnme skates skirt goth lolita sleeves butterfly veil dotd head flowers ruffle velvet skirts,none,1
yes lolita touch,none,0
bmoonlightslove lolitabih bijuumike lol theyre upset didnt cry eyes kotoko upset,none,1
blowdruggies parasol ltbsngoth lolita sleevesnmagical witch hatnvampire crownnnocturnal kitty,none,0
bolasoydora parasol ltbsngoth lolita sleevesnmagical witch hatnvampire crownnnocturnal kitty httpstcoujsohdzayc,none,0
bbye love lolita,none,1
blulukkkk give skates nocturnal kitty ears diamondsspring horns goth lolita sleeves,none,1
give skates nocturnal kitty ears diamondsspring horns goth lolita sleeves,none,1
yes lolita touch,none,0
brt hertzprung halloween request lieutenant tsurumi gothic lolita schrikes nngot little carried away one gotta,none,1
brt rawrdere lolita community toxic like let ppl enjoy shit,none,1
bme browses lolita stuff lolita selling sitenthis pretty everything expensive,none,0
bekstazsi lolita campur likey,none,0
brt sapnapswifu lolita minx niki really turn wanted well loh,none,0
brt hertzprung halloween request lieutenant tsurumi gothic lolita schrikes nngot little carried away one gotta,none,1
bprincess diana victim love jihad less painful instance would dalliances imran nazi,none,1
brt oneirio tried strive theme making outfits look casual dizzys design based rev,none,1
bbidding goth lolita sleeves starting bid highest httpstcoufyvwhchtk,none,0
brt belindautop lolita halloween nbelindapop,http://pbs.twimg.com/ext_tw_video_thumb/1322751295632023552/pu/img/RqYdHX-aM_u00WMf.jpg,1
blolita flores,none,0
blolnagito lolitabih bijuumike someone makes fun kotokos trauma people naturally attack person,none,1
brt tim curry hes singing heart love love rockyhorrorlive httpstcoawwnmlxndq,http://pbs.twimg.com/ext_tw_video_thumb/1322740739386888192/pu/img/Wnxq41n0180xS0Ll.jpg,1
brt kndmex wait explain tim curry rockyhorrorlive httpstcohqfvvzdnuu,http://pbs.twimg.com/ext_tw_video_thumb/1322744507864027137/pu/img/6CFzGNzov1OcZqJ6.jpg,0
brt bidoofs tim curry wilmer valderama reading sex scene together happy halloween rockyhorrorlive,http://pbs.twimg.com/media/EltMWMiWkAU9Tn4.jpg,1
brt margit tim curry rockyhorrorlive,http://pbs.twimg.com/media/EltHMU6XUAA12K-.jpg,0
brt sigridellis rockyhorrorlive fyi massive stroke paralyzednnand adlibbing like fucking,none,1
brt sydsydbizarre day free day birthday last year said might make thing draw lolita birthday year,none,1
brt jakeniemeyer little nell assisting tim curry rockyhorrorlive equally heartbreaking heartwarming treasures,none,1
brt always good see tim rockyhorrorlive httpstcottihvxwbdc,http://pbs.twimg.com/media/EltFxRUVoAAmedz.jpg,0
brt future liberals want rockyhorrorlive,http://pbs.twimg.com/media/EltWlT0XYAACdiv.jpg,1
brt gregorygallen love nell amp tim going script making lines love great ensemble player,none,1
brt heidimiller tim curry rphs live stroke warms heart many actors play disability actors,none,1
